id,q1_raw,q2_raw,q3_raw,q4_raw,q5_raw,q6_raw,q7_raw,q8_raw,q9_raw,q10_raw,q1_adj,q2_adj,q3_adj,q4_adj,q5_adj,q6_adj,q7_adj,q8_adj,q9_adj,q10_adj,skor_total,label
56,1,0,4,2,4,1,2,4,2,2,1,0,4,2,4,3,2,0,2,2,20,SEDANG
57,4,1,0,2,3,0,3,3,3,4,4,1,0,2,3,4,1,1,1,0,17,SEDANG
58,1,0,3,2,1,3,3,4,3,1,1,0,3,2,1,1,1,0,1,3,13,RENDAH
59,0,1,0,1,3,1,2,2,3,4,0,1,0,1,3,3,2,2,1,0,13,RENDAH
60,0,4,3,2,1,3,2,3,4,0,0,4,3,2,1,1,2,1,0,4,18,SEDANG
61,1,2,0,2,0,1,3,3,3,3,1,2,0,2,0,3,1,1,1,1,12,RENDAH
62,2,4,0,4,1,3,0,3,0,1,2,4,0,4,1,1,4,1,4,3,24,SEDANG
63,4,0,2,0,2,3,2,0,0,2,4,0,2,0,2,1,2,4,4,2,21,SEDANG
64,1,3,4,1,3,2,4,1,2,3,1,3,4,1,3,2,0,3,2,1,20,SEDANG
65,3,3,0,2,3,4,3,0,0,4,3,3,0,2,3,0,1,4,4,0,20,SEDANG
66,3,4,4,4,4,2,4,1,2,2,3,4,4,4,4,2,0,3,2,2,28,TINGGI
67,1,2,2,2,0,0,3,2,4,3,1,2,2,2,0,4,1,2,0,1,15,SEDANG
68,1,3,2,0,0,1,2,1,3,4,1,3,2,0,0,3,2,3,1,0,15,SEDANG
69,3,3,2,2,4,1,0,0,3,2,3,3,2,2,4,3,4,4,1,2,28,TINGGI
70,2,3,4,3,1,2,0,3,1,1,2,3,4,3,1,2,4,1,3,3,26,SEDANG
71,4,1,4,2,3,0,3,4,2,0,4,1,4,2,3,4,1,0,2,4,25,SEDANG
72,4,4,2,2,3,0,4,0,0,4,4,4,2,2,3,4,0,4,4,0,27,TINGGI
73,0,2,3,0,0,0,2,4,3,4,0,2,3,0,0,4,2,0,1,0,12,RENDAH
74,3,1,4,1,3,0,1,4,4,2,3,1,4,1,3,4,3,0,0,2,21,SEDANG
75,3,4,4,0,3,0,0,2,0,4,3,4,4,0,3,4,4,2,4,0,28,TINGGI
76,3,2,4,0,4,0,4,2,3,0,3,2,4,0,4,4,0,2,1,4,24,SEDANG
77,0,2,3,1,0,1,2,4,4,3,0,2,3,1,0,3,2,0,0,1,12,RENDAH
78,3,3,3,4,3,4,0,3,2,0,3,3,3,4,3,0,4,1,2,4,27,TINGGI
79,2,3,4,4,3,0,1,0,1,3,2,3,4,4,3,4,3,4,3,1,31,TINGGI
80,3,4,1,1,3,1,1,1,0,1,3,4,1,1,3,3,3,3,4,3,28,TINGGI
81,4,1,3,4,3,1,3,0,4,4,4,1,3,4,3,3,1,4,0,0,23,SEDANG
82,4,2,3,2,3,1,2,4,3,4,4,2,3,2,3,3,2,0,1,0,20,SEDANG
83,4,4,4,3,3,3,0,3,2,0,4,4,4,3,3,1,4,1,2,4,30,TINGGI
84,2,0,4,4,3,1,1,2,3,1,2,0,4,4,3,3,3,2,1,3,25,SEDANG
85,0,0,0,0,3,3,3,4,0,2,0,0,0,0,3,1,1,0,4,2,11,RENDAH
86,3,3,3,3,4,4,3,0,0,1,3,3,3,3,4,0,1,4,4,3,28,TINGGI
87,0,1,1,2,0,2,3,2,4,1,0,1,1,2,0,2,1,2,0,3,12,RENDAH
88,4,4,1,3,2,0,4,2,3,2,4,4,1,3,2,4,0,2,1,2,23,SEDANG
89,3,0,4,0,2,1,0,0,3,3,3,0,4,0,2,3,4,4,1,1,22,SEDANG
90,0,3,2,4,4,1,2,1,1,1,0,3,2,4,4,3,2,3,3,3,27,TINGGI
91,2,4,3,3,4,4,0,3,2,1,2,4,3,3,4,0,4,1,2,3,26,SEDANG
92,3,2,4,1,4,4,1,1,0,0,3,2,4,1,4,0,3,3,4,4,28,TINGGI
93,0,0,2,1,3,1,3,1,3,2,0,0,2,1,3,3,1,3,1,2,16,SEDANG
94,0,1,4,3,1,1,1,4,1,1,0,1,4,3,1,3,3,0,3,3,21,SEDANG
95,2,1,3,2,2,4,4,2,4,3,2,1,3,2,2,0,0,2,0,1,13,RENDAH
96,1,0,4,1,3,0,2,2,1,4,1,0,4,1,3,4,2,2,3,0,20,SEDANG
97,3,4,4,3,4,3,1,2,1,0,3,4,4,3,4,1,3,2,3,4,31,TINGGI
98,3,4,2,4,3,3,3,1,1,2,3,4,2,4,3,1,1,3,3,2,26,SEDANG
99,4,3,4,4,0,0,2,0,2,2,4,3,4,4,0,4,2,4,2,2,29,TINGGI
100,2,1,2,1,0,3,4,1,4,0,2,1,2,1,0,1,0,3,0,4,14,SEDANG
101,4,0,4,0,0,2,4,2,4,0,4,0,4,0,0,2,0,2,0,4,16,SEDANG
102,0,1,1,1,4,2,2,4,4,4,0,1,1,1,4,2,2,0,0,0,11,RENDAH
103,0,0,0,3,0,2,1,3,2,2,0,0,0,3,0,2,3,1,2,2,13,RENDAH
104,1,2,2,4,3,0,0,4,0,1,1,2,2,4,3,4,4,0,4,3,27,TINGGI
105,2,0,3,4,3,1,0,1,1,1,2,0,3,4,3,3,4,3,3,3,28,TINGGI
106,4,4,1,1,2,0,0,0,2,3,4,4,1,1,2,4,4,4,2,1,27,TINGGI
107,2,3,3,2,3,2,1,2,0,1,2,3,3,2,3,2,3,2,4,3,27,TINGGI
108,0,1,1,1,4,4,4,2,4,0,0,1,1,1,4,0,0,2,0,4,13,RENDAH
109,4,2,3,1,0,1,1,3,1,1,4,2,3,1,0,3,3,1,3,3,23,SEDANG
110,4,2,4,1,3,1,4,1,0,0,4,2,4,1,3,3,0,3,4,4,28,TINGGI
111,3,4,1,4,3,2,0,3,2,1,3,4,1,4,3,2,4,1,2,3,27,TINGGI
112,1,4,1,4,4,0,0,1,1,4,1,4,1,4,4,4,4,3,3,0,28,TINGGI
113,0,3,4,4,1,4,0,3,1,2,0,3,4,4,1,0,4,1,3,2,22,SEDANG
114,1,0,2,4,1,0,3,0,1,2,1,0,2,4,1,4,1,4,3,2,22,SEDANG
115,2,0,0,1,1,1,2,3,3,3,2,0,0,1,1,3,2,1,1,1,12,RENDAH
116,0,2,4,4,2,0,0,3,0,3,0,2,4,4,2,4,4,1,4,1,26,SEDANG
117,1,1,0,4,1,2,3,2,1,1,1,1,0,4,1,2,1,2,3,3,18,SEDANG
118,2,4,0,0,0,4,0,1,4,4,2,4,0,0,0,0,4,3,0,0,13,RENDAH
119,2,2,4,2,3,1,1,0,0,3,2,2,4,2,3,3,3,4,4,1,28,TINGGI
120,1,1,4,3,2,4,0,1,1,2,1,1,4,3,2,0,4,3,3,2,23,SEDANG
121,4,4,2,0,3,3,2,1,0,0,4,4,2,0,3,1,2,3,4,4,27,TINGGI
122,3,4,3,0,4,2,3,1,3,1,3,4,3,0,4,2,1,3,1,3,24,SEDANG
123,2,2,0,0,4,1,3,2,0,3,2,2,0,0,4,3,1,2,4,1,19,SEDANG
124,1,3,0,4,4,1,2,1,1,0,1,3,0,4,4,3,2,3,3,4,27,TINGGI
125,1,3,1,3,4,2,4,1,2,3,1,3,1,3,4,2,0,3,2,1,20,SEDANG
126,0,3,0,1,4,1,2,3,4,3,0,3,0,1,4,3,2,1,0,1,15,SEDANG
127,0,1,3,3,3,2,3,4,3,1,0,1,3,3,3,2,1,0,1,3,17,SEDANG
128,2,0,2,0,4,3,2,3,4,0,2,0,2,0,4,1,2,1,0,4,16,SEDANG
129,3,3,3,4,2,2,2,1,2,1,3,3,3,4,2,2,2,3,2,3,27,TINGGI
130,4,3,0,1,1,2,3,4,0,0,4,3,0,1,1,2,1,0,4,4,20,SEDANG
131,0,0,3,4,2,4,2,1,2,4,0,0,3,4,2,0,2,3,2,0,16,SEDANG
132,1,0,3,2,4,1,1,0,0,0,1,0,3,2,4,3,3,4,4,4,28,TINGGI
133,3,1,4,3,0,3,0,3,4,3,3,1,4,3,0,1,4,1,0,1,18,SEDANG
134,3,1,2,3,2,0,4,3,2,1,3,1,2,3,2,4,0,1,2,3,21,SEDANG
135,2,1,2,0,2,4,0,0,3,4,2,1,2,0,2,0,4,4,1,0,16,SEDANG
136,4,2,4,0,2,1,1,1,0,1,4,2,4,0,2,3,3,3,4,3,28,TINGGI
137,4,4,0,4,4,2,0,2,0,0,4,4,0,4,4,2,4,2,4,4,32,TINGGI
138,4,0,4,4,4,3,4,2,0,0,4,0,4,4,4,1,0,2,4,4,27,TINGGI
139,1,4,0,0,2,2,1,4,0,1,1,4,0,0,2,2,3,0,4,3,19,SEDANG
140,2,3,2,3,4,3,3,1,3,1,2,3,2,3,4,1,1,3,1,3,23,SEDANG
141,0,2,3,0,1,0,3,4,4,2,0,2,3,0,1,4,1,0,0,2,13,RENDAH
142,3,2,1,3,4,0,2,0,2,1,3,2,1,3,4,4,2,4,2,3,28,TINGGI
143,1,4,0,4,3,1,4,0,0,4,1,4,0,4,3,3,0,4,4,0,23,SEDANG
144,2,0,2,1,3,3,0,1,0,0,2,0,2,1,3,1,4,3,4,4,24,SEDANG
145,1,2,2,3,4,3,3,0,4,1,1,2,2,3,4,1,1,4,0,3,21,SEDANG
146,1,1,3,3,3,1,0,1,0,3,1,1,3,3,3,3,4,3,4,1,26,SEDANG
147,1,2,3,4,1,1,2,1,0,0,1,2,3,4,1,3,2,3,4,4,27,TINGGI
148,4,4,4,2,4,3,2,4,1,1,4,4,4,2,4,1,2,0,3,3,27,TINGGI
149,4,4,0,3,4,0,2,2,3,0,4,4,0,3,4,4,2,2,1,4,28,TINGGI
150,3,1,2,2,0,4,2,0,0,1,3,1,2,2,0,0,2,4,4,3,21,SEDANG
151,3,0,2,3,2,1,0,0,0,2,3,0,2,3,2,3,4,4,4,2,27,TINGGI
152,4,4,1,3,3,0,0,1,2,3,4,4,1,3,3,4,4,3,2,1,29,TINGGI
153,3,0,3,3,0,2,0,4,0,1,3,0,3,3,0,2,4,0,4,3,22,SEDANG
154,1,3,4,1,4,3,0,3,2,4,1,3,4,1,4,1,4,1,2,0,21,SEDANG
155,4,1,1,0,0,4,4,1,1,3,4,1,1,0,0,0,0,3,3,1,13,RENDAH
156,1,4,2,1,4,4,4,3,0,4,1,4,2,1,4,0,0,1,4,0,17,SEDANG
157,3,1,0,0,3,1,3,3,1,0,3,1,0,0,3,3,1,1,3,4,19,SEDANG
158,4,4,4,4,4,4,0,2,3,4,4,4,4,4,4,0,4,2,1,0,27,TINGGI
159,4,2,1,3,3,3,0,2,2,0,4,2,1,3,3,1,4,2,2,4,26,SEDANG
160,2,3,0,4,3,0,0,0,1,0,2,3,0,4,3,4,4,4,3,4,31,TINGGI
161,2,4,0,1,1,2,2,1,3,0,2,4,0,1,1,2,2,3,1,4,20,SEDANG
162,4,1,4,1,1,0,1,2,1,1,4,1,4,1,1,4,3,2,3,3,26,SEDANG
163,3,3,0,0,2,3,4,0,0,3,3,3,0,0,2,1,0,4,4,1,18,SEDANG
164,4,4,3,1,3,0,1,1,1,1,4,4,3,1,3,4,3,3,3,3,31,TINGGI
165,2,1,1,4,1,2,0,0,0,2,2,1,1,4,1,2,4,4,4,2,25,SEDANG
166,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,1,0,4,4,4,13,RENDAH
167,2,3,3,2,0,2,4,2,2,0,2,3,3,2,0,2,0,2,2,4,20,SEDANG
168,2,3,1,4,0,0,4,3,4,0,2,3,1,4,0,4,0,1,0,4,19,SEDANG
169,0,1,2,0,4,2,2,4,3,4,0,1,2,0,4,2,2,0,1,0,12,RENDAH
170,0,0,0,2,1,3,4,1,1,1,0,0,0,2,1,1,0,3,3,3,13,RENDAH
171,3,3,3,4,3,4,1,0,1,1,3,3,3,4,3,0,3,4,3,3,29,TINGGI
172,0,2,3,1,0,1,0,1,1,3,0,2,3,1,0,3,4,3,3,1,20,SEDANG
173,1,3,4,0,3,1,3,4,0,4,1,3,4,0,3,3,1,0,4,0,19,SEDANG
174,1,2,4,3,3,1,4,2,4,0,1,2,4,3,3,3,0,2,0,4,22,SEDANG
175,3,3,4,2,3,2,1,3,2,4,3,3,4,2,3,2,3,1,2,0,23,SEDANG
176,2,1,3,1,3,1,4,1,4,0,2,1,3,1,3,3,0,3,0,4,20,SEDANG
177,1,4,1,4,4,1,2,0,3,0,1,4,1,4,4,3,2,4,1,4,28,TINGGI
178,4,4,3,0,4,0,2,0,4,1,4,4,3,0,4,4,2,4,0,3,28,TINGGI
179,2,1,3,4,4,0,1,3,1,1,2,1,3,4,4,4,3,1,3,3,28,TINGGI
180,4,4,3,3,4,2,1,4,0,1,4,4,3,3,4,2,3,0,4,3,30,TINGGI
181,4,1,3,0,1,4,4,3,4,4,4,1,3,0,1,0,0,1,0,0,10,RENDAH
182,2,2,4,2,4,2,2,4,2,1,2,2,4,2,4,2,2,0,2,3,23,SEDANG
183,0,1,1,2,0,2,2,2,2,4,0,1,1,2,0,2,2,2,2,0,12,RENDAH
184,1,0,4,2,1,0,0,0,4,3,1,0,4,2,1,4,4,4,0,1,21,SEDANG
185,4,3,0,3,3,3,3,0,1,4,4,3,0,3,3,1,1,4,3,0,22,SEDANG
186,3,2,4,2,1,2,1,1,1,2,3,2,4,2,1,2,3,3,3,2,25,SEDANG
187,0,0,1,3,2,2,4,1,4,2,0,0,1,3,2,2,0,3,0,2,13,RENDAH
188,2,3,1,4,4,0,2,3,1,0,2,3,1,4,4,4,2,1,3,4,28,TINGGI
189,4,4,4,1,2,4,3,1,0,2,4,4,4,1,2,0,1,3,4,2,25,SEDANG
190,4,1,4,2,4,3,0,3,1,1,4,1,4,2,4,1,4,1,3,3,27,TINGGI
191,0,0,0,0,1,3,3,1,1,2,0,0,0,0,1,1,1,3,3,2,11,RENDAH
192,0,4,0,1,1,2,4,2,4,0,0,4,0,1,1,2,0,2,0,4,14,SEDANG
193,0,3,1,1,4,2,0,3,4,2,0,3,1,1,4,2,4,1,0,2,18,SEDANG
194,0,0,2,0,3,1,3,2,4,4,0,0,2,0,3,3,1,2,0,0,11,RENDAH
195,3,2,2,0,4,1,1,3,3,1,3,2,2,0,4,3,3,1,1,3,22,SEDANG
196,2,0,4,0,4,1,4,0,0,2,2,0,4,0,4,3,0,4,4,2,23,SEDANG
197,0,0,0,1,1,1,4,3,3,2,0,0,0,1,1,3,0,1,1,2,9,RENDAH
198,2,1,2,3,4,3,0,0,2,0,2,1,2,3,4,1,4,4,2,4,27,TINGGI
199,4,4,3,0,4,0,0,4,0,1,4,4,3,0,4,4,4,0,4,3,30,TINGGI
200,0,2,2,3,2,3,0,0,3,1,0,2,2,3,2,1,4,4,1,3,22,SEDANG
201,1,0,2,1,3,4,4,4,1,4,1,0,2,1,3,0,0,0,3,0,10,RENDAH
202,2,4,4,4,0,2,0,1,3,0,2,4,4,4,0,2,4,3,1,4,28,TINGGI
203,0,2,2,3,2,0,1,0,3,1,0,2,2,3,2,4,3,4,1,3,24,SEDANG
204,3,4,3,3,4,3,1,0,4,0,3,4,3,3,4,1,3,4,0,4,29,TINGGI
205,4,0,3,1,3,1,0,1,0,1,4,0,3,1,3,3,4,3,4,3,28,TINGGI
206,0,4,2,0,2,2,0,0,3,4,0,4,2,0,2,2,4,4,1,0,19,SEDANG
207,2,0,4,3,0,3,2,4,2,4,2,0,4,3,0,1,2,0,2,0,14,SEDANG
208,0,3,4,2,3,3,0,1,2,4,0,3,4,2,3,1,4,3,2,0,22,SEDANG
209,2,1,4,1,3,3,3,3,4,2,2,1,4,1,3,1,1,1,0,2,16,SEDANG
210,2,1,0,1,4,1,4,4,3,3,2,1,0,1,4,3,0,0,1,1,13,RENDAH
211,3,4,0,4,1,3,1,4,4,2,3,4,0,4,1,1,3,0,0,2,18,SEDANG
212,3,3,3,0,2,2,4,0,1,3,3,3,3,0,2,2,0,4,3,1,21,SEDANG
213,2,4,1,2,3,1,2,1,0,1,2,4,1,2,3,3,2,3,4,3,27,TINGGI
214,3,3,0,3,1,1,1,2,1,1,3,3,0,3,1,3,3,2,3,3,24,SEDANG
215,4,1,4,3,3,4,4,2,1,2,4,1,4,3,3,0,0,2,3,2,22,SEDANG
216,4,3,3,3,4,2,1,0,3,0,4,3,3,3,4,2,3,4,1,4,31,TINGGI
217,1,4,3,3,1,0,1,2,0,1,1,4,3,3,1,4,3,2,4,3,28,TINGGI
218,2,3,4,0,0,1,4,2,2,1,2,3,4,0,0,3,0,2,2,3,19,SEDANG
219,2,2,0,1,0,4,2,3,3,2,2,2,0,1,0,0,2,1,1,2,11,RENDAH
220,0,2,0,2,0,1,0,0,2,1,0,2,0,2,0,3,4,4,2,3,20,SEDANG
221,1,3,2,4,3,1,2,4,4,3,1,3,2,4,3,3,2,0,0,1,19,SEDANG
222,4,3,4,2,2,2,2,0,0,4,4,3,4,2,2,2,2,4,4,0,27,TINGGI
223,4,0,4,4,4,4,3,0,0,1,4,0,4,4,4,0,1,4,4,3,28,TINGGI
224,3,3,3,2,2,0,1,4,4,1,3,3,3,2,2,4,3,0,0,3,23,SEDANG
225,4,3,4,1,3,0,0,3,0,3,4,3,4,1,3,4,4,1,4,1,29,TINGGI
226,4,0,4,4,1,2,1,1,0,0,4,0,4,4,1,2,3,3,4,4,29,TINGGI
227,0,4,0,0,1,4,0,2,3,4,0,4,0,0,1,0,4,2,1,0,12,RENDAH
228,0,0,2,3,1,1,4,4,1,4,0,0,2,3,1,3,0,0,3,0,12,RENDAH
229,2,2,1,2,0,4,3,3,1,3,2,2,1,2,0,0,1,1,3,1,13,RENDAH
230,1,3,4,2,0,3,4,3,4,4,1,3,4,2,0,1,0,1,0,0,12,RENDAH
231,4,0,4,2,1,2,0,0,0,2,4,0,4,2,1,2,4,4,4,2,27,TINGGI
232,0,0,0,4,1,2,4,1,3,0,0,0,0,4,1,2,0,3,1,4,15,SEDANG
233,4,2,0,3,3,0,2,0,1,1,4,2,0,3,3,4,2,4,3,3,28,TINGGI
234,3,2,0,4,3,2,2,3,1,0,3,2,0,4,3,2,2,1,3,4,24,SEDANG
235,4,3,4,1,4,1,2,0,1,3,4,3,4,1,4,3,2,4,3,1,29,TINGGI
236,0,2,1,0,2,4,0,2,3,1,0,2,1,0,2,0,4,2,1,3,15,SEDANG
237,4,0,2,0,2,4,4,3,2,4,4,0,2,0,2,0,0,1,2,0,11,RENDAH
238,0,0,3,2,1,2,4,2,2,0,0,0,3,2,1,2,0,2,2,4,16,SEDANG
239,4,2,0,0,1,4,3,2,0,2,4,2,0,0,1,0,1,2,4,2,16,SEDANG
240,1,4,0,1,4,4,3,4,3,0,1,4,0,1,4,0,1,0,1,4,16,SEDANG
241,4,3,3,4,0,3,0,2,2,0,4,3,3,4,0,1,4,2,2,4,27,TINGGI
242,1,4,2,2,4,2,0,0,0,2,1,4,2,2,4,2,4,4,4,2,29,TINGGI
243,2,3,1,0,4,3,2,4,1,4,2,3,1,0,4,1,2,0,3,0,16,SEDANG
244,2,1,4,1,4,4,4,3,4,4,2,1,4,1,4,0,0,1,0,0,13,RENDAH
245,4,0,4,4,4,3,0,3,2,0,4,0,4,4,4,1,4,1,2,4,28,TINGGI
246,0,3,2,0,0,0,4,0,4,2,0,3,2,0,0,4,0,4,0,2,15,SEDANG
247,4,1,1,3,0,0,2,4,3,0,4,1,1,3,0,4,2,0,1,4,20,SEDANG
248,1,2,1,1,0,3,4,1,0,2,1,2,1,1,0,1,0,3,4,2,15,SEDANG
249,2,1,1,3,2,1,3,2,2,3,2,1,1,3,2,3,1,2,2,1,18,SEDANG
250,4,2,3,4,0,2,2,4,0,2,4,2,3,4,0,2,2,0,4,2,23,SEDANG
251,3,0,0,4,2,4,4,3,0,3,3,0,0,4,2,0,0,1,4,1,15,SEDANG
252,3,3,3,4,0,0,0,1,0,0,3,3,3,4,0,4,4,3,4,4,32,TINGGI
253,3,4,2,4,2,4,3,4,1,2,3,4,2,4,2,0,1,0,3,2,21,SEDANG
254,4,2,2,3,2,2,4,1,1,2,4,2,2,3,2,2,0,3,3,2,23,SEDANG
255,0,3,3,0,2,4,1,3,4,4,0,3,3,0,2,0,3,1,0,0,12,RENDAH
256,0,4,2,1,4,2,0,1,0,0,0,4,2,1,4,2,4,3,4,4,28,TINGGI
257,3,2,1,1,4,3,3,1,0,1,3,2,1,1,4,1,1,3,4,3,23,SEDANG
258,0,2,3,1,0,1,3,3,4,3,0,2,3,1,0,3,1,1,0,1,12,RENDAH
259,4,3,0,1,1,4,3,0,0,0,4,3,0,1,1,0,1,4,4,4,22,SEDANG
260,4,3,3,1,1,4,4,0,4,4,4,3,3,1,1,0,0,4,0,0,16,SEDANG
261,4,1,4,0,4,1,0,2,0,3,4,1,4,0,4,3,4,2,4,1,27,TINGGI
262,0,0,0,2,4,2,2,3,2,2,0,0,0,2,4,2,2,1,2,2,15,SEDANG
263,3,0,2,2,0,4,2,4,0,4,3,0,2,2,0,0,2,0,4,0,13,RENDAH
264,4,4,4,2,1,1,1,2,0,3,4,4,4,2,1,3,3,2,4,1,28,TINGGI
265,3,2,3,0,3,4,3,4,1,4,3,2,3,0,3,0,1,0,3,0,15,SEDANG
266,3,4,0,2,1,4,2,4,3,2,3,4,0,2,1,0,2,0,1,2,15,SEDANG
267,2,3,0,0,0,0,1,2,2,2,2,3,0,0,0,4,3,2,2,2,18,SEDANG
268,3,0,2,3,3,1,0,3,0,1,3,0,2,3,3,3,4,1,4,3,26,SEDANG
269,4,4,4,4,4,1,2,4,1,3,4,4,4,4,4,3,2,0,3,1,29,TINGGI
270,1,4,2,0,3,3,2,3,1,2,1,4,2,0,3,1,2,1,3,2,19,SEDANG
271,0,0,4,4,3,0,1,1,1,1,0,0,4,4,3,4,3,3,3,3,27,TINGGI
272,4,4,2,3,1,2,4,2,2,2,4,4,2,3,1,2,0,2,2,2,22,SEDANG
273,4,0,3,4,0,4,3,4,3,4,4,0,3,4,0,0,1,0,1,0,13,RENDAH
274,3,4,4,3,1,1,0,1,3,0,3,4,4,3,1,3,4,3,1,4,30,TINGGI
